Title,Assay,AssayFam,Carba,DoubleSampling,HighPos,Hpv,Japan,MatRev,MaterialCodes,Na,PartNr,Product,SealAssay,TemplatePath,Ultra
XPRSARSCOV210,XPRSARS COV2,,No,No,No,No,,D39525,XPRSARS-COV2-10;D39525,N/A,700-9246,XPRSARSCOV210,SARS CoV2,XPRSARS-COV2-10,No
XP3SARSCOV210,XP3 SARS COV2,,No,No,No,No,,D48538,XP3SARS-COV2-10;D48538,N/A,700-7425,XP3SARSCOV210,Xpress CoV-2 plus,XP3 SARS COV2,No
XPRSCOV210,XPRS COV2,,No,No,No,No,,D48538,XPRS-COV2-10;D48538,N/A,700-8085,XPRSCOV210,Xpress CoV-2 plus,XP3 SARS COV2,No
XPRSCOV2CE10,XPRS COV2,,No,No,No,No,,D48538,XPRS-COV2-CE-10;D48538,N/A,700-8086,XPRSCOV2CE10,Xpress CoV-2 plus,XP3 SARS COV2,No
XPCOV2FLURSV10,XPCOV2 FLU RSV,,No,No,No,No,,D41929,XPCOV2/FLU/RSV-10 deaad;D41929,N/A,700-6990,XPCOV2FLURSV10,SARS CoV2 Flu/RSV,XPRSARS-COV2 FLU RSV,No
XP3COV2FLURSV10,XP3 COV2 FLU RSV,,No,No,No,No,,D47377,XP3COV2/FLU/RSV-10;D47377,N/A,700-7493,XP3COV2FLURSV10,Xpress CoV-2/Flu/RSV plus,XP3 SARS-COV2 FLU RSV plus,No
XPRS4PLEX10,XPRS COV2 PLEX,,No,No,No,No,,D47377,XPRS4PLEX-10;D47377,N/A,700-7906,XPRS4PLEX10,Xpress CoV-2/Flu/RSV plus,XP3 SARS-COV2 FLU RSV plus,No
XPRS4PLEXCE10,XPRS COV2 PLEX,,No,No,No,No,,D47377,XPRS4PLEX-CE-10;D47377,N/A,700-7903,XPRS4PLEXCE10,Xpress CoV-2/Flu/RSV plus,XP3 SARS-COV2 FLU RSV plus,No
GXMTBRIFULTRA50,GXMTB RIF ULTRA,MTB,No,No,Yes,No,,D25862,GXMTB/RIF-ULTRA-50;D25862,NA,700-5702,GXMTBRIFULTRA50,MTB,GXMTB RIF-ULTRA,Yes
GXMTBRIFULTRA10,GXMTB RIF ULTRA,MTB,No,No,Yes,No,,D25862,GXMTB/RIF-ULTRA-10;D25862,NA,700-5702,GXMTBRIFULTRA10,MTB,GXMTB RIF-ULTRA,Yes
GXMTBRIF-ULT-CN-10,GXMTB RIF ULTRA CN,MTB,No,No,Yes,No,,D25862,GXMTBRIF-ULT-CN-10;D25862,NA,700-8749,GXMTBRIF-ULT-CN-10,MTB,GXMTB RIF-ULTRA,Yes
GXMTBRIF-ULT-CN-50,GXMTB RIF ULTRA CN,MTB,No,No,Yes,No,,D25862,GXMTBRIF-ULT-CN-50;D25862,NA,700-8749,GXMTBRIF-ULT-CN-50,MTB,GXMTB RIF-ULTRA,Yes
GXMTBXDR10,MTB XDR,MTB,No,Yes,No,No,,D37339,GXMTB/XDR-10;D37339,NA,700-6737,GXMTBXDR10,MTB,MTB XDR,Yes
CGXMTBRIF50,MTB RIF,MTB,No,No,No,No,,D31503,CGXMTB/RIF-50;D31503,N/A,700-4006,CGXMTBRIF50,MTB,MTB RIF,No
GXMTBRIF50,MTB RIF,MTB,No,No,No,No,,D31503,GXMTB/RIF-50;D31503,N/A,700-4006,GXMTBRIF50,MTB,MTB RIF,No
700-6082,MTB MII,MTB,No,No,No,No,,D31503,"700-6082 ASSY,10 CART POUCH,MTB/RIF,HB, INDIA;D31503",N/A,700-4006,700-6082,MTB,MTB RIF,No
